Publication Number,Date,Title,CPC,Summary
"EP2197548","2012-11-14","DIRECT VISUALIZATION ROBOTIC INTRA-OPERATIVE RADIATION THERAPY APPLICATOR DEVICE","A61N5/1001, A61N5/1067, A61N2005/1052","N/A..."
"EP3162318","2019-10-16","AUXILIARY IMAGE DISPLAY AND MANIPULATION ON A COMPUTER DISPLAY IN A MEDICAL ROBOTIC SYSTEM","A61B34/37, A61B18/1482, A61B34/10","N/A..."
"EP3582674","2022-05-04","SURGICAL VISUALIZATION AND MEDICAL IMAGING DEVICES USING NEAR INFRARED FLUORESCENT POLYMERS","A61B1/043, A61B1/267, A61B34/30","N/A..."
"EP4103080","2024-12-04","AIRFLOW CHANNELS AND PATTERNS IN LUMEN FOR CANNULA","A61B17/3421, A61B17/3417, A61B17/3474","N/A..."
"EP4137082","2026-03-11","APPARATUS AND METHOD TO INSPECT MICROLUMEN OF CATHETER","A61B18/1492, A61B1/121, A61B2217/002","N/A..."
"US10137575","2018-11-27","Synthetic representation of a surgical robot","G16H20/40, A61B34/20, A61B34/25","A synthetic representation of a robot tool for display on a user interface of a robotic system. The ..."
"US10258425","2019-04-16","Medical robotic system providing an auxiliary view of articulatable instruments extending out of a distal end of an entry guide","A61B2017/00119, A61B90/36, A61B34/20","A medical robotic system includes an entry guide with surgical tools and a camera extending out of i..."
"US10271909","2019-04-30","Display of computer generated image of an out-of-view portion of a medical device adjacent a real-time image of an in-view portion of the medical device","A61B34/30, A61B1/0005, A61B1/3132","Systems and methods for performing robotically-assisted surgical procedures on a patient enable an i..."
"US10271912","2019-04-30","Method and system for moving a plurality of articulated instruments in tandem back towards an entry guide","A61B34/30, A61B1/00087, A61B1/00193","A medical robotic system includes articulated instruments extending out of a distal end of an entry ..."
"US10271915","2019-04-30","Application of force feedback on an input device to urge its operator to command an articulated instrument to a preferred pose","A61B34/76, A61B34/25, A61B34/30","A medical robotic system includes an entry guide with articulated instruments extending out of its d..."
"US10582974","2020-03-10","Estimation of a position and orientation of a frame used in controlling movement of a tool","A61B34/30, A61B34/37, A61B90/361","A robotic system includes a camera having an image frame whose position and orientation relative to ..."
"US10772689","2020-09-15","Controller assisted reconfiguration of an articulated instrument during movement into and out of an entry guide","A61B34/30, A61B34/25, A61B34/32","To perform a tool exchange in a medical robotic system  tool is retracted back into an entry guide f..."
"US10984567","2021-04-20","Rendering tool information as graphic overlays on displayed images of tools","A61B34/20, A61B2034/2061, A61B2090/371","An operator telerobotically controls tools to perform a procedure on an object at a work site while ..."
"US11304760","2022-04-19","Customized kit assembly for surgical implants","A61F2/30942, A61B34/10, A61B34/37","Methods  apparatuses  and systems for customized kit assembly for surgical implants are disclosed. A..."
"US11382702","2022-07-12","Medical robotic system providing an auxiliary view including range of motion limitations for articulatable instruments extending out of a distal end of an entry guide","A61B1/00183, A61B1/018, A61B1/04","A medical robotic system includes an entry guide with surgical tools and a camera extending out of i..."
"US11389255","2022-07-19","Providing information of tools by filtering image areas adjacent to or on displayed images of the tools","A61B34/30, A61B34/37, A61B90/361","A system may comprise an image capture device disposed to capture an image of a work site  a display..."
"US11399908","2022-08-02","Medical robotic system with coupled control modes","A61B34/37, A61B1/00087, A61B1/00193","In a coupled control mode  the surgeon directly controls movement of an associated slave manipulator..."
"US11464573","2022-10-11","Methods and systems for real-time robotic surgical assistance in an operating room","G16H20/40, A61B5/0033, A61B5/004","Methods  apparatuses  and systems for providing real-time surgical assistance to a surgical robot us..."
"US11464589","2022-10-11","Robotic system and method for performing latency managed telesurgery","A61B34/35, G16H20/40, G16H40/20","Robotic system and method are described for performing latency managed telesurgery. The system compr..."
"US11464590","2022-10-11","Robotic surgery system with tool edge sensors for edge computing","A61B34/35, A61B17/1626, A61B34/37","Methods  apparatuses  and systems for edge computing in surgical robotics is provided. The system co..."
"US11497436","2022-11-15","Systems, methods, and bone mapper devices for real-time mapping and analysis of bone tissue","A61B5/0095, A61B5/0205, A61B5/4509","Apparatuses  systems  and methods for performing real-time analysis of bone tissue during a surgical..."
"US11510733","2022-11-29","Placement of surgical implants","A61B34/10, A61B34/20, A61B34/32","Methods  apparatuses  and systems for designing  modifying  and installing a surgical implant optimi..."
"US11571266","2023-02-07","Robotic surgical system for insertion of surgical implants","A61B34/32, A61B5/353, A61B5/355","Methods  apparatuses  and systems for robotic insertion of a screw  a rod  or another component of a..."
"US11596482","2023-03-07","System and method for surgical performance tracking and measurement","G06N3/08, A61B90/361, A61B2034/102","Computer implemented methods and systems are provided for training a machine learning architecture f..."
"US11684488","2023-06-27","Synchronized placement of surgical implant hardware","A61B34/20, A61B5/01, A61B5/0205","Methods  apparatuses  and systems for robotic insertion of a screw  a rod  or another component of a..."
"US11696761","2023-07-11","Firing drive arrangements for surgical systems","A61B17/29, A61B17/07207, A61B2017/00017","An end effector assembly for use with a surgical instrument is disclosed. The end effector assembly ..."
"US11717365","2023-08-08","Laparoscopic ultrasound robotic surgical system","A61B34/37, A61B8/00, A61B8/12","A LUS robotic surgical system is trainable by a surgeon to automatically move a LUS probe in a desir..."
"US11786313","2023-10-17","Apparatus for robotic joint arthroscopic surgery","A61B34/35, A61B34/10, A61B34/20","Methods  apparatuses  and systems for performing robotic joint arthroscopic surgery are disclosed. T..."
"US11844575","2023-12-19","Digital image analysis for robotic installation of surgical implants","A61B34/10, A61B1/000094, A61B18/14","Computer-implemented digital image analysis methods  apparatuses  and systems for robotic installati..."
"US11850093","2023-12-26","Surgical system with combined laser ablation/ imaging tool","A61B8/4488, A61B8/12, A61B8/445","In one embodiment of the invention  a robotic surgical system includes a combined laser imaging robo..."
"US11896328","2024-02-13","Robotic arthroscopic surgery for joint repair","A61B34/30, A61B34/10, A61B34/25","Methods  apparatuses  and systems performing robotic arthroscopic surgery for extensor retinaculum a..."
"US11896329","2024-02-13","Robotic arthroscopic surgery with machine learning","A61B34/30, A61B1/000096, A61B1/00194","Methods  apparatuses  and systems for performing machine learning (ML) for robotic arthroscopic surg..."
"US11908566","2024-02-20","Edge computing for robotic telesurgery using artificial intelligence","B25J9/163, G05B2219/40168, G05B2219/40174","Methods  apparatuses  and systems for edge computing for robotic telesurgery using artificial intell..."
"US11918212","2024-03-05","Surgical instrument with selectively disengageable drive systems","A61B17/07207, A61B17/07292, A61B2017/07242","A surgical instrument including a surgical end effector and a threaded rotary input shaft. An actuat..."
"US11918296","2024-03-05","Digital image analysis for in vivo robotic assembly of multi-component implants","A61B34/10, A61B34/25, A61B34/37","Methods  apparatuses  and systems for performing custom surgical implant design are disclosed. The d..."
"US11918310","2024-03-05","Interactive extended-reality system for robotic medicine","A61B34/35, A61B34/25, A61B34/30","Methods  apparatuses  and systems for performing robotic surgery in an extended-reality (XR) surgica..."
"US11931118","2024-03-19","Robotic surgical system for remotely monitoring surgical robots","A61B34/37, A61B34/25, B25J9/163","Methods  apparatuses  and systems for providing updates to a surgical robot in which a surgical robo..."
"US11957423","2024-04-16","Multi-arm surgical robotic system","G16H20/40, G16H40/20, G16H40/63","A robotic surgery system comprising a plurality of motorized robotic arms of a surgical robot config..."
"US11998281","2024-06-04","Extended-reality operating room for robotic surgery","A61B34/10, A61B90/36, A61B90/361","Methods  apparatuses  and systems for performing robotic surgery in an extended reality (XR) collabo..."
"US12035988","2024-07-16","In situ end effector tool changer","A61B34/10, A61B34/20, A61B34/25","Methods  apparatuses  and systems for in situ end effector tool changers for a surgical robot are pr..."
"US12076017","2024-09-03","Surgical instrument including a deployable knife","A61B17/105, A61B17/068, A61B17/07292","An apparatus comprises a body  a shaft assembly  an end effector  a cartridge  and a staple driver a..."
"US12201369","2025-01-21","Interactive extended-reality apparatuses for robotic surgery","A61B34/10, A61B34/20, A61B34/25","Methods  apparatuses  and systems for performing robotic surgery in an extended-reality (XR) surgica..."
"US12239396","2025-03-04","Medical robotic system providing an auxiliary view including range of motion limitations for articulatable instruments extending out of a distal end of an entry guide","A61B90/361, A61B1/00149, A61B1/00183","A medical system comprises an entry guide  a display  and a processor. The processor may be configur..."
"US12245822","2025-03-11","Surgical robot evolution and handoff","A61B34/10, A61B34/20, A61B34/30","Methods  apparatuses  and systems for autonomous surgical robot evolution and handoff for manual ope..."
"US12245826","2025-03-11","Robotic surgical systems with multi-modality imaging for performing surgical steps","A61B34/30, A61B5/0022, A61B5/0035","Methods  apparatuses  and systems for automated disease detection using multiple-wavelength imaging ..."
"US12266040","2025-04-01","Rendering tool information as graphic overlays on displayed images of tools","A61B34/25, A61B34/30, A61B34/37","A system comprises: a robotic arm operatively coupleable to a tool comprising a working end; and an ..."
"US12303125","2025-05-20","Methods, systems and devices for storing suture needles and using robotics for delivering selected suture needles to surgical sites","A61B17/06119, A61B17/062, A61B34/30","A surgical method includes arranging a plurality of suture needle containers in a surgical environme..."
"US12357152","2025-07-15","Artificial intelligence-based medical 3D scanner","A61B1/000094, A61B1/00, A61B1/00193","Systems and methods for three-dimensional imaging  modeling  mapping  and/or control capabilities in..."
"US12357400","2025-07-15","Synthetic representation of a surgical robot","A61B34/30, A61B34/20, A61B34/37","A system comprises a first robotic arm adapted to support and move a tool and a second robotic arm a..."
"US12440208","2025-10-14","Powered surgical instrument","A61B17/07207, A61B18/1445, A61B90/98","A method of operating a surgical instrument is disclosed. The surgical instrument includes an electr..."
"US12508094","2025-12-30","Curved gimbal link geometry","A61B34/74, A61B34/35, A61B34/37","A control input assembly including a first link and a second link. A link housing extends from a sec..."
"US12582480","2026-03-24","Digital image analysis for robotic installation of surgical implants","A61B34/37, A61B34/30, A61B2034/2055","Computer-implemented digital image analysis methods  apparatuses  and systems for robotic installati..."
"US12605209","2026-04-21","Minimally invasive telesurgical systems with interactive user interfaces for 3D operative images","A61B34/10, A61B1/00193, A61B8/12","A minimally invasive surgical system is disclosed including a processor coupled to a stereoscopic en..."
"US20070293734","2007-12-20","METHODS AND APPARATUS FOR SURGICAL PLANNING","A61B34/10, A61B34/25, A61B34/30","Methods and apparatus for enhancing surgical planning provide enhanced planning of entry port placem..."
