lens_id,pub_key,jurisdiction,date_published,title,cpc_codes,claim_count,independent_claim_count,has_full_text,tags
"","EP2197548","EP","2012-11-14","DIRECT VISUALIZATION ROBOTIC INTRA-OPERATIVE RADIATION THERAPY APPLICATOR DEVICE","A61N5/1001, A61N5/1067, A61N2005/1052",0,0,"No",""
"","EP3162318","EP","2019-10-16","AUXILIARY IMAGE DISPLAY AND MANIPULATION ON A COMPUTER DISPLAY IN A MEDICAL ROBOTIC SYSTEM","A61B34/37, A61B18/1482, A61B34/10",0,0,"No",""
"","EP3582674","EP","2022-05-04","SURGICAL VISUALIZATION AND MEDICAL IMAGING DEVICES USING NEAR INFRARED FLUORESCENT POLYMERS","A61B1/043, A61B1/267, A61B34/30",0,0,"No",""
"","EP4103080","EP","2024-12-04","AIRFLOW CHANNELS AND PATTERNS IN LUMEN FOR CANNULA","A61B17/3421, A61B17/3417, A61B17/3474",0,0,"No",""
"","EP4137082","EP","2026-03-11","APPARATUS AND METHOD TO INSPECT MICROLUMEN OF CATHETER","A61B18/1492, A61B1/121, A61B2217/002",0,0,"No",""
"","US10137575","US","2018-11-27","Synthetic representation of a surgical robot","G16H20/40, A61B34/20, A61B34/25",0,0,"Yes",""
"","US10258425","US","2019-04-16","Medical robotic system providing an auxiliary view of articulatable instruments extending out of a distal end of an entry guide","A61B2017/00119, A61B90/36, A61B34/20",0,0,"No",""
"","US10271909","US","2019-04-30","Display of computer generated image of an out-of-view portion of a medical device adjacent a real-time image of an in-view portion of the medical device","A61B34/30, A61B1/0005, A61B1/3132",0,0,"No",""
"","US10271912","US","2019-04-30","Method and system for moving a plurality of articulated instruments in tandem back towards an entry guide","A61B34/30, A61B1/00087, A61B1/00193",0,0,"No",""
"","US10271915","US","2019-04-30","Application of force feedback on an input device to urge its operator to command an articulated instrument to a preferred pose","A61B34/76, A61B34/25, A61B34/30",0,0,"No",""
"","US10582974","US","2020-03-10","Estimation of a position and orientation of a frame used in controlling movement of a tool","A61B34/30, A61B34/37, A61B90/361",0,0,"Yes",""
"","US10772689","US","2020-09-15","Controller assisted reconfiguration of an articulated instrument during movement into and out of an entry guide","A61B34/30, A61B34/25, A61B34/32",0,0,"No",""
"","US10984567","US","2021-04-20","Rendering tool information as graphic overlays on displayed images of tools","A61B34/20, A61B2034/2061, A61B2090/371",0,0,"No",""
"","US11304760","US","2022-04-19","Customized kit assembly for surgical implants","A61F2/30942, A61B34/10, A61B34/37",0,0,"No",""
"","US11382702","US","2022-07-12","Medical robotic system providing an auxiliary view including range of motion limitations for articulatable instruments extending out of a distal end of an entry guide","A61B1/00183, A61B1/018, A61B1/04",0,0,"No",""
"","US11389255","US","2022-07-19","Providing information of tools by filtering image areas adjacent to or on displayed images of the tools","A61B34/30, A61B34/37, A61B90/361",0,0,"No",""
"","US11399908","US","2022-08-02","Medical robotic system with coupled control modes","A61B34/37, A61B1/00087, A61B1/00193",0,0,"No",""
"","US11464573","US","2022-10-11","Methods and systems for real-time robotic surgical assistance in an operating room","G16H20/40, A61B5/0033, A61B5/004",0,0,"No",""
"","US11464589","US","2022-10-11","Robotic system and method for performing latency managed telesurgery","A61B34/35, G16H20/40, G16H40/20",0,0,"No",""
"","US11464590","US","2022-10-11","Robotic surgery system with tool edge sensors for edge computing","A61B34/35, A61B17/1626, A61B34/37",0,0,"No",""
"","US11497436","US","2022-11-15","Systems, methods, and bone mapper devices for real-time mapping and analysis of bone tissue","A61B5/0095, A61B5/0205, A61B5/4509",0,0,"No",""
"","US11510733","US","2022-11-29","Placement of surgical implants","A61B34/10, A61B34/20, A61B34/32",0,0,"No",""
"","US11571266","US","2023-02-07","Robotic surgical system for insertion of surgical implants","A61B34/32, A61B5/353, A61B5/355",0,0,"No",""
"","US11596482","US","2023-03-07","System and method for surgical performance tracking and measurement","G06N3/08, A61B90/361, A61B2034/102",0,0,"No",""
"","US11684488","US","2023-06-27","Synchronized placement of surgical implant hardware","A61B34/20, A61B5/01, A61B5/0205",0,0,"No",""
"","US11696761","US","2023-07-11","Firing drive arrangements for surgical systems","A61B17/29, A61B17/07207, A61B2017/00017",0,0,"No",""
"","US11717365","US","2023-08-08","Laparoscopic ultrasound robotic surgical system","A61B34/37, A61B8/00, A61B8/12",0,0,"Yes",""
"","US11786313","US","2023-10-17","Apparatus for robotic joint arthroscopic surgery","A61B34/35, A61B34/10, A61B34/20",0,0,"No",""
"","US11844575","US","2023-12-19","Digital image analysis for robotic installation of surgical implants","A61B34/10, A61B1/000094, A61B18/14",0,0,"No",""
"","US11850093","US","2023-12-26","Surgical system with combined laser ablation/ imaging tool","A61B8/4488, A61B8/12, A61B8/445",0,0,"No",""
"","US11896328","US","2024-02-13","Robotic arthroscopic surgery for joint repair","A61B34/30, A61B34/10, A61B34/25",0,0,"No",""
"","US11896329","US","2024-02-13","Robotic arthroscopic surgery with machine learning","A61B34/30, A61B1/000096, A61B1/00194",0,0,"No",""
"","US11908566","US","2024-02-20","Edge computing for robotic telesurgery using artificial intelligence","B25J9/163, G05B2219/40168, G05B2219/40174",0,0,"No",""
"","US11918212","US","2024-03-05","Surgical instrument with selectively disengageable drive systems","A61B17/07207, A61B17/07292, A61B2017/07242",0,0,"No",""
"","US11918296","US","2024-03-05","Digital image analysis for in vivo robotic assembly of multi-component implants","A61B34/10, A61B34/25, A61B34/37",0,0,"No",""
"","US11918310","US","2024-03-05","Interactive extended-reality system for robotic medicine","A61B34/35, A61B34/25, A61B34/30",0,0,"No",""
"","US11931118","US","2024-03-19","Robotic surgical system for remotely monitoring surgical robots","A61B34/37, A61B34/25, B25J9/163",0,0,"No",""
"","US11957423","US","2024-04-16","Multi-arm surgical robotic system","G16H20/40, G16H40/20, G16H40/63",0,0,"No",""
"","US11998281","US","2024-06-04","Extended-reality operating room for robotic surgery","A61B34/10, A61B90/36, A61B90/361",0,0,"No",""
"","US12035988","US","2024-07-16","In situ end effector tool changer","A61B34/10, A61B34/20, A61B34/25",0,0,"No",""
"","US12076017","US","2024-09-03","Surgical instrument including a deployable knife","A61B17/105, A61B17/068, A61B17/07292",0,0,"No",""
"","US12201369","US","2025-01-21","Interactive extended-reality apparatuses for robotic surgery","A61B34/10, A61B34/20, A61B34/25",0,0,"No",""
"","US12239396","US","2025-03-04","Medical robotic system providing an auxiliary view including range of motion limitations for articulatable instruments extending out of a distal end of an entry guide","A61B90/361, A61B1/00149, A61B1/00183",0,0,"No",""
"","US12245822","US","2025-03-11","Surgical robot evolution and handoff","A61B34/10, A61B34/20, A61B34/30",0,0,"No",""
"","US12245826","US","2025-03-11","Robotic surgical systems with multi-modality imaging for performing surgical steps","A61B34/30, A61B5/0022, A61B5/0035",0,0,"No",""
"","US12266040","US","2025-04-01","Rendering tool information as graphic overlays on displayed images of tools","A61B34/25, A61B34/30, A61B34/37",0,0,"No",""
"","US12303125","US","2025-05-20","Methods, systems and devices for storing suture needles and using robotics for delivering selected suture needles to surgical sites","A61B17/06119, A61B17/062, A61B34/30",0,0,"No",""
"","US12357152","US","2025-07-15","Artificial intelligence-based medical 3D scanner","A61B1/000094, A61B1/00, A61B1/00193",0,0,"No",""
"","US12357400","US","2025-07-15","Synthetic representation of a surgical robot","A61B34/30, A61B34/20, A61B34/37",0,0,"No",""
"","US12440208","US","2025-10-14","Powered surgical instrument","A61B17/07207, A61B18/1445, A61B90/98",0,0,"No",""
"","US12508094","US","2025-12-30","Curved gimbal link geometry","A61B34/74, A61B34/35, A61B34/37",0,0,"No",""
"","US12582480","US","2026-03-24","Digital image analysis for robotic installation of surgical implants","A61B34/37, A61B34/30, A61B2034/2055",0,0,"No",""
"","US12605209","US","2026-04-21","Minimally invasive telesurgical systems with interactive user interfaces for 3D operative images","A61B34/10, A61B1/00193, A61B8/12",0,0,"No",""
"","US20070293734","US","2007-12-20","METHODS AND APPARATUS FOR SURGICAL PLANNING","A61B34/10, A61B34/25, A61B34/30",0,0,"Yes",""
