lens_id,pub_key,jurisdiction,date_published,title,applicants,cpc_codes,claim_count,independent_claim_count
179-865-158-663-619,N/A,US,2022-04-21,,SUZHOU INSTITUTE OF BIOMEDICAL ENGINEERING AND TECH CHINESE ACADEMY OF,,10,10
058-130-749-684-767,N/A,JP,2025-06-24,,LIVSMED INC,,0,0
136-827-195-104-771,N/A,CN,2024-04-09,,LIVSMED INC,,0,0
023-529-072-062-468,N/A,US,2022-04-07,,LIVSMED INC,,20,20
020-464-842-660-322,N/A,US,2025-09-16,,LIVSMED INC,,17,17
042-308-412-047-222,N/A,EP,2022-09-07,,LIVSMED INC,,20,20
079-926-858-924-307,N/A,JP,2024-06-25,,LIVSMED INC,,0,0
083-584-467-791-33X,N/A,US,2022-03-22,,LIVSMED INC,,19,19
087-952-738-968-574,N/A,US,2021-08-12,,LIVSMED INC,,20,20
099-082-755-671-050,N/A,US,2025-12-04,,LIVSMED INC,,20,20
173-988-428-724-517,N/A,US,2023-12-07,,LIVSMED INC,,21,21
182-283-333-606-522,N/A,US,2024-11-12,,LIVSMED INC,,20,20
116-733-495-209-265,N/A,EP,2024-04-10,,LIVSMED INC,,135,135
168-975-662-161-595,N/A,EP,2022-12-21,,CUREXO INC,,14,14
188-991-462-751-043,N/A,EP,2023-12-27,,LIVSMED INC,,135,135
113-489-834-088-760,N/A,US,2025-01-09,,LIVSMED INC,,22,22
015-847-572-624-766,N/A,CN,2024-02-27,,LIVSMED INC,,0,0
117-692-869-407-919,N/A,CN,2020-01-03,,SUZHOU INST BIOMEDICAL ENG & TECH CAS,,0,0
082-658-662-430-049,N/A,US,2024-08-29,,LIVSMED INC,,23,23
166-151-741-507-406,N/A,US,2025-05-20,,LIVSMED INC,,23,23
075-659-625-051-577,N/A,WO,2023-01-19,,LIVSMED INC,,92,92
132-579-991-941-17X,N/A,CN,2023-10-13,,LIVSMED INC,,0,0
140-751-960-161-818,N/A,CN,2023-11-24,,LIVSMED INC,,0,0
165-997-098-598-662,N/A,EP,2024-02-28,,LIVSMED INC,,159,159
098-971-201-368-168,N/A,EP,2024-05-22,,LIVSMED INC,,92,92
049-029-464-552-151,N/A,WO,2022-10-27,,LIVSMED INC,,159,159
151-258-060-323-412,N/A,WO,2023-03-09,,LIVSMED INC,,138,138
079-816-119-153-222,N/A,US,2025-07-08,,LIVSMED INC,,14,14
098-524-889-619-222,N/A,US,2025-06-17,,LIVSMED INC,,22,22
177-272-396-573-962,N/A,US,2024-07-11,,LIVSMED INC,,20,20
059-058-780-027-012,N/A,CN,2022-09-20,,CUREXO INC,,0,0
187-424-811-751-360,N/A,EP,2024-06-05,,LIVSMED INC,,138,138
077-140-786-367-582,N/A,US,2026-02-10,,LIVSMED INC,,72,72
110-601-880-396-228,N/A,US,2025-07-24,,LIVSMED INC,,24,24
021-639-986-188-491,N/A,US,2024-08-01,,LIVSMED INC,,73,73
131-980-543-048-331,N/A,US,2024-09-17,,LIVSMED INC,,20,20
030-959-972-060-63X,N/A,US,2025-09-04,,LIVSMED INC,,19,19
008-251-830-485-551,N/A,US,2024-06-20,,LIVSMED INC,,16,16
131-690-060-981-244,N/A,US,2025-03-06,,LIVSMED INC,,22,22
088-645-276-252-155,N/A,EP,2026-04-01,,LIVSMED INC,,0,0
019-287-635-072-931,N/A,EP,2026-02-25,,LIVSMED INC,,19,19
036-314-932-791-737,N/A,JP,2025-08-05,,LIVSMED INC,,0,0
161-427-074-877-00X,N/A,US,2022-02-03,,GERHART CLARK,,6,6
080-281-559-070-751,N/A,WO,2021-01-07,,SUZHOU INST BIOMEDICAL ENG & TECH CAS,,10,10
150-208-170-318-25X,N/A,JP,2025-07-08,,LIVSMED INC,,0,0
150-125-306-204-953,N/A,KR,2018-05-03,,KOREA ADVANCED INST SCI & TECH,,0,0
000-894-720-207-241,N/A,CN,2024-04-12,,LIVSMED INC,,0,0
077-684-407-831-003,N/A,EP,2022-04-20,,SUZHOU INST BIOMEDICAL ENG & TECH CAS,,10,10
174-891-276-635-19X,N/A,WO,2022-12-08,,LIVSMED INC,,135,135
122-669-592-391-760,N/A,WO,2022-08-25,,LIVSMED INC,,135,135
