lens_id,pub_key,jurisdiction,date_published,title,applicants,cpc_codes,claim_count,independent_claim_count,has_full_text
190-841-018-116-930,WO-2025198970-A1,WO,2025-09-25,INVERTED CONTROL DEVICES FOR ROBOTIC SURGERY SYSTEMS,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B34/74 | A61B2017/00477,1,1,Yes
072-591-836-518-555,EP-4159153-A1,EP,2023-04-05,MASTER-TO-SLAVE ORIENTATION MAPPING WHEN MISALIGNED,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,15,15,Yes
135-159-437-698-609,CN-113397709-A,CN,2021-09-17,Master-to-slave orientation mapping when misaligned,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,0,0,No
105-108-971-223-103,EP-3824840-A1,EP,2021-05-26,USER INITIATED BREAK-AWAY CLUTCHING OF A SURGICAL MOUNTING PLATFORM,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,15,15,Yes
188-967-750-823-371,EP-3785597-A1,EP,2021-03-03,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,15,15,Yes
100-725-806-154-687,US-20200107700-A1,US,2020-04-09,ARTICULATE AND SWAPPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,16,16,Yes
044-974-753-124-30X,US-10524871-B2,US,2020-01-07,Master-to-slave orientation mapping when misaligned,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,18,18,Yes
163-983-743-945-314,US-10506920-B2,US,2019-12-17,Articulate and swappable endoscope for a surgical robot,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,14,14,Yes
060-570-211-028-144,JP-2019122871-A,JP,2019-07-25,MASTER-TO-SLAVE ORIENTATION MAPPING WHEN MISALIGNED,INTUITIVE SURGICAL OPERATIONS,B25J9/1612 | A61B90/361 | A61B34/35 | A61B34/70 | B25J3/00,0,0,No
174-226-424-637-331,US-10034718-B2,US,2018-07-31,User initiated break-away clutching of a surgical mounting platform,INTUITIVE SURGICAL OPERATIONS; INTUTITIVE SURGICAL OPERATIONS INC,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,23,23,Yes
018-504-512-378-588,CN-107961076-A,CN,2018-04-27,User initiated break-away clutching of a surgical mounting platform,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,0,0,No
126-383-375-897-898,EP-3278715-A3,EP,2018-04-25,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,0,0,No
088-998-317-392-634,US-9949800-B2,US,2018-04-24,Curved cannula surgical system control,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B1/00149 | A61B1/00193 | A61B1/313 | A61B17/3421,19,19,Yes
168-584-377-261-871,US-20180078321-A1,US,2018-03-22,MASTER-TO-SLAVE ORIENTATION MAPPING WHEN MISALIGNED,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,21,21,Yes
142-669-431-495-089,CN-107735225-A,CN,2018-02-23,Master-to-slave orientation mapping when misaligned,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,0,0,No
000-797-374-525-970,EP-3278715-A2,EP,2018-02-07,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,10,10,Yes
157-899-365-171-024,US-20170311778-A1,US,2017-11-02,ARTICULATE AND SWAPABLE ENDOSCOPE FOR A SURGICAL ROBOT,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,16,16,Yes
196-981-039-416-724,US-9730572-B2,US,2017-08-15,Articulate and swappable endoscope for a surgical robot,INTUITIVE SURGICAL OPERATIONS,A61B1/0055 | A61B1/00142 | A61B1/00149 | A61B1/0058 | A61B1/008,17,17,Yes
161-408-952-048-747,US-9597153-B2,US,2017-03-21,Positions for multiple surgical mounting platform rotation clutch buttons,INTUITIVE SURGICAL OPERATIONS,A61B34/37 | A61B34/30 | A61B34/35 | A61B2090/035 | A61B2090/508,15,15,Yes
139-440-108-204-102,EP-3115159-A1,EP,2017-01-11,MEDICAL ROBOTIC SYSTEM PROVIDING COMPUTER GENERATED AUXILIARY VIEWS OF A CAMERA INSTRUMENT FOR CONTROLLING THE POSITIONING AND ORIENTING OF ITS TIP,INTUITIVE SURGICAL OPERATIONS,A61B1/00149 | A61B1/00009 | A61B1/00042 | A61B1/0005 | A61B1/05,13,13,Yes
170-895-234-819-057,US-20160374768-A1,US,2016-12-29,USER INITIATED BREAK-AWAY CLUTCHING OF A SURGICAL MOUNTING PLATFORM,INTUITIVE SURGICAL OPERATIONS,A61B34/30 | A61B34/35 | A61B34/37 | A61B34/77 | A61B90/06,23,23,Yes
045-951-117-550-169,WO-2016201207-A1,WO,2016-12-15,MASTER-TO-SLAVE ORIENTATION MAPPING WHEN MISALIGNED,INTUITIVE SURGICAL OPERATIONS,A61B34/35 | A61B34/70 | A61B90/361 | A61B2034/301 | B25J3/00,1,1,Yes
